689;241
T;497;369
T;497;113
T;561;177
T;753;241
W;241;-15
W;305;-15
W;369;-15
W;433;-15
W;497;-15
W;561;-15
W;625;-15
W;689;-15
W;753;-15
W;817;-15
W;241;49
W;241;113
W;241;177
W;241;241
W;241;305
W;241;369
W;241;433
W;241;497
W;241;561
W;305;561
W;369;561
W;433;561
W;497;561
W;561;561
W;625;561
W;689;561
W;753;561
W;817;561
W;817;497
W;817;433
W;817;369
W;817;305
W;817;241
W;817;177
W;817;113
W;817;49
W;305;49
W;305;113
W;305;177
W;305;241
W;305;305
W;305;369
W;305;433
W;369;433
W;433;433
W;497;433
W;561;433
W;689;433
W;689;369
W;689;305
W;625;305
W;561;305
W;625;369
W;369;369
W;369;305
W;369;241
W;369;177
W;369;113
W;369;49
W;433;49
W;561;49
W;625;49
W;689;49
W;753;49
W;625;113
W;561;113
W;433;241
B;497;177
B;625;177
B;689;177
B;497;305
